movie_id,movie_title,genre,certification
25683,Avatar,   Action    Adventure    Fantasy    Science Fiction,PG13
14531,Pirates of the Caribbean: At World's End,   Adventure    Fantasy    Action,PG13
18260,Spectre,   Action    Adventure    Crime,PG13
25056,The Dark Knight Rises,   Action    Crime    Drama    Thriller,PG13
99197,John Carter,   Action    Adventure    Science Fiction,PG13
36957,Spider-Man 3,   Fantasy    Action    Adventure,PG13
88901,Tangled,   Animation    Family,PG
67895,Avengers: Age of Ultron,   Action    Adventure    Science Fiction,PG13
91826,Harry Potter and the Half-Blood Prince,   Adventure    Fantasy    Family,PG
91701,Batman v Superman: Dawn of Justice,   Action    Adventure    Fantasy,PG13
13736,Superman Returns,   Adventure    Fantasy    Action    Science Fiction,PG13
14715,Quantum of Solace,   Adventure    Action    Thriller    Crime,PG13
45746,Pirates of the Caribbean: Dead Man's Chest,   Adventure    Fantasy    Action,PG13
49061,The Lone Ranger,   Action    Adventure    Western,PG13
12516,Man of Steel,   Action    Adventure    Fantasy    Science Fiction,PG13
52526,The Chronicles of Narnia: Prince Caspian,   Adventure    Family    Fantasy,PG
12900,The Avengers,   Science Fiction    Action    Adventure,PG13
28995,Pirates of the Caribbean: On Stranger Tides,   Adventure    Action    Fantasy,PG13
95636,Men in Black 3,   Action    Comedy    Science Fiction,PG13
45599,The Hobbit: The Battle of the Five Armies,   Action    Adventure    Fantasy,PG13
82310,The Amazing Spider-Man,   Action    Adventure    Fantasy,PG13
12298,Robin Hood,   Action    Adventure,PG13
76013,The Hobbit: The Desolation of Smaug,   Adventure    Fantasy,PG13
71535,The Golden Compass,   Adventure    Fantasy,PG13
73688,King Kong,   Adventure    Drama    Action,PG13
41019,Titanic,   Drama    Romance    Thriller,R
26043,Captain America: Civil War,   Adventure    Action    Science Fiction,PG13
84995,Battleship,   Thriller    Action    Adventure    Science Fiction,PG13
27424,Jurassic World,   Action    Adventure    Science Fiction    Thriller,PG13
53458,Skyfall,   Action    Adventure    Thriller,PG13
53670,Spider-Man 2,   Action    Adventure    Fantasy,PG13
93183,Iron Man 3,   Action    Adventure    Science Fiction,PG13
90156,Alice in Wonderland,   Family    Fantasy    Adventure,PG13
85642,X-Men: The Last Stand,   Adventure    Action    Science Fiction    Thriller,PG13
25461,Monsters University,   Animation    Family,PG
31799,Transformers: Revenge of the Fallen,   Science Fiction    Action    Adventure,PG13
11570,Transformers: Age of Extinction,   Science Fiction    Action    Adventure,PG13
49377,Oz: The Great and Powerful,   Fantasy    Adventure    Family,PG
32430,The Amazing Spider-Man 2,   Action    Adventure    Fantasy,PG13
15323,TRON: Legacy,   Adventure    Action    Science Fiction,PG13
53933,Cars 2,   Animation    Family    Adventure    Comedy,PG
55758,Green Lantern,   Adventure    Action    Thriller    Science Fiction,PG13
87107,Toy Story 3,   Animation    Family    Comedy,PG
45646,Terminator Salvation,   Action    Science Fiction    Thriller,PG13
93339,Furious 7,   Action,PG13
92323,World War Z,   Action    Drama    Horror    Science Fiction    Thriller,R
47055,X-Men: Days of Future Past,   Action    Adventure    Fantasy    Science Fiction,PG13
87119,Star Trek Into Darkness,   Action    Adventure    Science Fiction,PG13
16439,Jack the Giant Slayer,   Action    Family    Fantasy,PG
48595,The Great Gatsby,   Drama    Romance,R
80601,Prince of Persia: The Sands of Time,   Adventure    Fantasy    Action    Romance,R
76236,Pacific Rim,   Action    Science Fiction    Adventure,PG13
55014,Transformers: Dark of the Moon,   Action    Science Fiction    Adventure,PG13
62964,Indiana Jones and the Kingdom of the Crystal Skull,   Adventure    Action,PG13
80564,The Good Dinosaur,   Adventure    Animation    Family,PG
85997,Brave,   Animation    Adventure    Comedy    Family    Action    Fantasy,PG
97735,Star Trek Beyond,   Action    Adventure    Science Fiction,PG13
44854,WALL·E,   Animation    Family,PG
46788,Rush Hour 3,   Action    Comedy    Crime    Thriller,PG13
41822,2012,   Action    Adventure    Science Fiction,PG13
51516,A Christmas Carol,   Animation    Drama,PG13
98760,Jupiter Ascending,   Science Fiction    Fantasy    Action    Adventure,PG13
64975,The Legend of Tarzan,   Action    Adventure,PG13
87690,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",   Adventure    Family    Fantasy,PG
16279,X-Men: Apocalypse,   Science Fiction,PG13
41096,The Dark Knight,   Drama    Action    Crime    Thriller,PG13
18747,Up,   Animation    Comedy    Family    Adventure,PG
83597,Monsters vs Aliens,   Animation    Family    Adventure    Science Fiction,PG13
53347,Iron Man,   Action    Science Fiction    Adventure,PG13
34519,Hugo,   Adventure    Drama    Family,PG
73031,Wild Wild West,   Action    Adventure    Comedy    Science Fiction    Western,R
89421,The Mummy: Tomb of the Dragon Emperor,   Adventure    Action    Fantasy,PG13
46879,Suicide Squad,   Action    Adventure    Crime    Fantasy    Science Fiction,PG13
12096,Evan Almighty,   Fantasy    Comedy    Family,PG
59638,Edge of Tomorrow,   Action    Science Fiction,PG13
78260,Waterworld,   Adventure    Action,PG13
46374,G.I. Joe: The Rise of Cobra,   Adventure    Action    Thriller    Science Fiction,PG13
91850,Inside Out,   Drama    Comedy    Animation    Family,PG
24813,The Jungle Book,   Family    Adventure    Drama    Fantasy,PG
35211,Iron Man 2,   Adventure    Action    Science Fiction,PG13
91908,Snow White and the Huntsman,   Adventure    Fantasy    Drama,PG13
79914,Maleficent,   Fantasy    Adventure    Action    Family    Romance,PG
74657,Dawn of the Planet of the Apes,   Science Fiction    Action    Drama    Thriller,PG13
13293,The Lovers,   Action    Adventure    Science Fiction    Romance,R
40186,47 Ronin,   Drama    Action    Adventure    Fantasy,PG13
49812,Captain America: The Winter Soldier,   Action    Adventure    Science Fiction,PG13
33248,Shrek Forever After,   Comedy    Adventure    Fantasy    Animation    Family,PG
36690,Tomorrowland,   Adventure    Family    Mystery    Science Fiction,PG
61966,Big Hero 6,   Adventure    Family    Animation    Action    Comedy,PG
44188,Wreck-It Ralph,   Family    Animation    Comedy    Adventure,PG
43286,The Polar Express,   Adventure    Animation    Family    Fantasy,PG
96105,Independence Day: Resurgence,   Action    Adventure    Science Fiction,PG13
25663,How to Train Your Dragon,   Fantasy    Adventure    Animation    Family,PG
17923,Terminator 3: Rise of the Machines,   Action    Thriller    Science Fiction,PG13
45769,Guardians of the Galaxy,   Action    Science Fiction    Adventure,PG13
71713,Interstellar,   Adventure    Drama    Science Fiction,PG13
73278,Inception,   Action    Thriller    Science Fiction    Mystery    Adventure,PG13
28163,シン・ゴジラ,   Action    Adventure    Drama    Horror    Science Fiction,R
95805,The Hobbit: An Unexpected Journey,   Adventure    Fantasy    Action,PG13
23809,The Fast and the Furious,   Action    Crime    Thriller,PG13
44586,The Curious Case of Benjamin Button,   Fantasy    Drama    Thriller    Mystery    Romance,R
88288,X-Men: First Class,   Action    Science Fiction    Adventure,PG13
39431,The Hunger Games: Mockingjay - Part 2,   Action    Adventure    Science Fiction,PG13
65303,The Sorcerer's Apprentice,   Fantasy    Adventure    Action    Comedy    Drama,PG13
58012,Poseidon,   Adventure    Action    Drama    Thriller,PG13
17205,Alice Through the Looking Glass,   Fantasy,PG13
58009,Shrek the Third,   Fantasy    Adventure    Animation    Comedy    Family,PG
62564,Warcraft,   Action    Adventure    Fantasy,PG13
23035,Terminator Genisys,   Science Fiction    Action    Thriller    Adventure,PG13
76892,The Chronicles of Narnia: The Voyage of the Dawn Treader,   Adventure    Family    Fantasy,PG13
93450,Pearl Harbor,   History    Romance    War,R
35196,Transformers,   Adventure    Science Fiction    Action,PG13
94806,Alexander,   War    History    Action    Adventure    Drama    Romance,R
88736,Harry Potter and the Order of the Phoenix,   Adventure    Fantasy    Family    Mystery,PG
65877,Harry Potter and the Goblet of Fire,   Adventure    Fantasy    Family,PG
29898,Hancock,   Fantasy    Action,PG13
20311,I Am Legend,   Drama    Horror    Action    Thriller    Science Fiction,PG13
53041,Charlie and the Chocolate Factory,   Adventure    Comedy    Family    Fantasy,PG
40882,Ratatouille,   Animation    Comedy    Family    Fantasy,PG
95404,Batman Begins,   Action    Crime    Drama,PG13
33459,Madagascar: Escape 2 Africa,   Family    Animation,PG
43680,Night at the Museum: Battle of the Smithsonian,   Adventure    Fantasy    Action    Comedy    Family,PG
51929,X-Men Origins: Wolverine,   Adventure    Action    Thriller    Science Fiction,PG13
28974,The Matrix Revolutions,   Adventure    Action    Thriller    Science Fiction,PG13
56228,Frozen,   Animation    Adventure    Family,PG
66994,The Matrix Reloaded,   Adventure    Action    Thriller    Science Fiction,PG13
23418,Thor: The Dark World,   Action    Adventure    Fantasy,PG13
44525,Mad Max: Fury Road,   Action    Adventure    Science Fiction    Thriller,PG13
32198,Angels & Demons,   Thriller    Mystery,PG13
16146,Thor,   Adventure    Fantasy    Action,PG13
16110,Bolt,   Animation    Family    Adventure    Comedy,PG13
50405,G-Force,   Fantasy    Action    Adventure    Family    Comedy,PG
35171,Wrath of the Titans,   Adventure,PG13
85876,Dark Shadows,   Comedy    Fantasy,PG13
95463,Mission: Impossible - Rogue Nation,   Action    Adventure    Thriller,PG13
65539,The Wolfman,   Drama    Horror    Thriller,R
92582,Bee Movie,   Family    Animation    Adventure    Comedy,PG13
15862,Kung Fu Panda 2,   Animation    Family,PG
82946,The Last Airbender,   Action    Adventure    Family    Fantasy,PG
23937,Mission: Impossible III,   Adventure    Action    Thriller,PG13
40889,White House Down,   Action    Drama    Thriller,PG13
14601,Mars Needs Moms,   Adventure    Animation    Family,PG
68136,Flushed Away,   Adventure    Animation    Comedy    Family,PG
86050,Pan,   Adventure    Family    Fantasy,PG
77113,Mr. Peabody & Sherman,   Animation    Adventure    Family,PG
24548,Troy,   Adventure    Drama    War,PG13
80037,Madagascar 3: Europe's Most Wanted,   Animation    Family,PG
57823,Die Another Day,   Adventure    Action    Thriller,PG13
53756,Ghostbusters,   Action    Fantasy    Comedy,PG13
56314,Armageddon,   Action    Thriller    Science Fiction    Adventure,PG13
94910,Men in Black II,   Action    Adventure    Comedy    Science Fiction,PG13
81258,Beowulf,   Adventure    Action    Animation,PG13
27967,Kung Fu Panda 3,   Action    Adventure    Animation    Comedy    Family,PG
67392,Mission: Impossible - Ghost Protocol,   Action    Thriller    Adventure,PG13
84069,Rise of the Guardians,   Fantasy    Animation    Family,PG
92636,Fun with Dick and Jane,   Comedy,PG13
31118,The Last Samurai,   Drama    Action    War    History,PG13
89097,Exodus: Gods and Kings,   Adventure    Drama    Action,PG13
33987,Star Trek,   Science Fiction    Action    Adventure,PG13
68633,Spider-Man,   Fantasy    Action,PG13
94120,How to Train Your Dragon 2,   Fantasy    Action    Adventure    Animation    Comedy    Family,PG
58610,Gods of Egypt,   Fantasy,PG13
24969,Stealth,   Action,PG13
85145,Watchmen,   Action    Mystery    Science Fiction,PG13
69139,Lethal Weapon 4,   Action    Adventure    Comedy    Crime    Thriller,PG13
46783,Hulk,   Drama    Action    Science Fiction,PG13
89112,G.I. Joe: Retaliation,   Adventure    Action    Science Fiction    Thriller,PG13
76565,Sahara,   Action    Adventure    Comedy    Drama    Mystery,PG13
18619,Final Fantasy: The Spirits Within,   Adventure    Action    Animation    Fantasy    Science Fiction    Thriller,PG13
42253,Captain America: The First Avenger,   Action    Adventure    Science Fiction,PG13
16605,The World Is Not Enough,   Adventure    Action    Thriller,PG13
82324,Master and Commander: The Far Side of the World,   Adventure,PG13
31206,The Twilight Saga: Breaking Dawn - Part 2,   Adventure    Fantasy    Drama    Romance,R
25051,Happy Feet Two,   Animation    Comedy    Family,PG13
97256,The Incredible Hulk,   Science Fiction    Action    Adventure,PG13
35967,The BFG,   Adventure    Family    Fantasy,PG13
26617,The Revenant,   Western    Drama    Adventure    Thriller,PG13
49448,Turbo,   Animation    Family,PG
82434,Rango,   Animation    Comedy    Family    Western    Adventure,PG
12224,Penguins of Madagascar,   Family    Animation    Adventure    Comedy,PG
94640,The Bourne Ultimatum,   Action    Drama    Mystery    Thriller,PG13
11773,Kung Fu Panda,   Adventure    Animation    Family    Comedy,PG
98229,Ant-Man,   Science Fiction    Action    Adventure,PG13
99327,The Hunger Games: Catching Fire,   Adventure    Action    Science Fiction,PG13
88131,Home,   Fantasy    Comedy    Animation    Science Fiction    Family,PG
59917,War of the Worlds,   Adventure    Thriller    Science Fiction,PG13
11178,Bad Boys II,   Adventure    Action    Comedy    Thriller    Crime,PG13
18451,Puss in Boots,   Action    Adventure    Animation    Family    Fantasy,PG
45213,Salt,   Action    Mystery    Thriller,PG13
51676,Noah,   Drama    Adventure,PG13
43503,The Adventures of Tintin,   Adventure    Animation    Mystery,PG13
47296,Harry Potter and the Prisoner of Azkaban,   Adventure    Fantasy    Family,PG
62814,Australia,   Drama,PG13
44522,After Earth,   Science Fiction    Action    Adventure,PG13
99794,Dinosaur,   Animation    Family,PG
53876,Night at the Museum: Secret of the Tomb,   Adventure    Comedy    Fantasy    Family,PG
60109,Megamind,   Animation    Action    Comedy    Family    Science Fiction,PG
77606,Harry Potter and the Philosopher's Stone,   Adventure    Fantasy    Family,PG
79335,R.I.P.D.,   Fantasy    Action    Comedy    Crime,PG13
20641,Pirates of the Caribbean: The Curse of the Black Pearl,   Adventure    Fantasy    Action,PG13
56261,The Hunger Games: Mockingjay - Part 1,   Science Fiction    Adventure    Thriller,PG13
87771,The Da Vinci Code,   Thriller    Mystery,PG13
96615,Rio 2,   Animation    Adventure    Comedy    Family,PG
49186,X2,   Adventure    Action    Science Fiction    Thriller,PG13
53282,Fast Five,   Action    Thriller    Crime,PG13
85142,Sherlock Holmes: A Game of Shadows,   Adventure    Action    Crime    Mystery,PG13
17017,Clash of the Titans,   Adventure    Fantasy    Action,PG13
37650,Total Recall,   Action    Adventure    Science Fiction,PG13
72902,The 13th Warrior,   Adventure    Fantasy    Action,PG13
78160,The Bourne Legacy,   Action    Thriller,PG13
79712,Batman & Robin,   Action    Crime    Fantasy,PG13
38601,How the Grinch Stole Christmas,   Family    Comedy    Fantasy,PG13
12720,The Day After Tomorrow,   Action    Adventure    Science Fiction    Thriller,PG13
16171,Mission: Impossible II,   Adventure    Action    Thriller,PG13
92009,The Perfect Storm,   Drama,PG13
45936,4: Rise of the Silver Surfer,   Adventure    Fantasy    Action    Thriller,PG13
28356,Life of Pi,   Adventure    Drama    Action,PG13
76398,Ghost Rider,   Thriller    Action    Fantasy    Horror,PG13
94442,Jason Bourne,   Action    Thriller,PG13
91673,Charlie's Angels: Full Throttle,   Action    Adventure    Comedy,PG13
48027,Prometheus,   Science Fiction    Adventure    Mystery,PG13
72619,Stuart Little 2,   Family    Adventure    Animation    Comedy,PG
69223,Elysium,   Science Fiction    Action    Drama    Thriller,PG13
57597,The Chronicles of Riddick,   Action    Science Fiction,PG13
50730,RoboCop,   Action    Science Fiction,PG13
93815,Speed Racer,   Action    Family    Science Fiction,PG13
18581,How Do You Know,   Comedy    Drama    Romance,R
11271,Knight and Day,   Action    Comedy,PG13
44500,Oblivion,   Action    Science Fiction    Adventure    Mystery,PG13
70394,Star Wars: Episode III - Revenge of the Sith,   Science Fiction    Adventure    Action,PG13
85111,Star Wars: Episode II - Attack of the Clones,   Adventure    Action    Science Fiction,PG13
27813,"Monsters, Inc.",   Animation    Comedy    Family,PG
44846,The Wolverine,   Action    Science Fiction    Adventure    Fantasy,PG13
79922,Star Wars: Episode I - The Phantom Menace,   Adventure    Action    Science Fiction,PG13
79012,The Croods,   Adventure    Animation    Comedy    Family    Fantasy,PG
24473,Astérix aux Jeux Olympiques,   Fantasy    Adventure    Comedy    Family,PG
86541,Windtalkers,   Drama    Action    History    War,PG13
