movie_id,movie_title,genre,certification
21395,The Huntsman: Winter's War,   Action    Adventure    Drama,PG13
61601,Teenage Mutant Ninja Turtles,   Science Fiction    Action    Adventure    Fantasy    Comedy,PG13
48054,Gravity,   Science Fiction    Thriller    Drama,PG13
93336,Dante's Peak,   Action    Adventure    Thriller,PG13
51389,Teenage Mutant Ninja Turtles: Out of the Shadows,   Fantasy    Action    Adventure    Comedy,PG13
66126,Fantastic Four,   Action    Adventure    Science Fiction,PG13
70876,Night at the Museum,   Action    Adventure    Comedy    Family    Fantasy,PG
79932,San Andreas,   Action    Drama    Thriller,PG13
64774,Tomorrow Never Dies,   Adventure    Action    Thriller,PG13
60297,The Patriot,   Drama    History    War    Action,PG13
25066,Ocean's Twelve,   Thriller    Crime,PG13
90803,Mr. & Mrs. Smith,   Action    Comedy    Drama    Thriller,PG13
50318,Insurgent,   Adventure    Science Fiction    Thriller,PG13
25479,The Aviator,   Drama,PG13
26184,Gulliver's Travels,   Comedy,PG13
46918,The Green Hornet,   Action    Crime    Comedy,PG13
24169,300: Rise of an Empire,   Action    War,PG13
56458,The Smurfs,   Animation    Family    Adventure    Comedy    Fantasy,PG
83516,Home on the Range,   Animation    Family,PG
51653,Allegiant,   Adventure    Science Fiction,PG13
86300,Real Steel,   Action    Science Fiction    Drama,PG13
72857,The Smurfs 2,   Fantasy    Family    Comedy    Animation,PG
21128,Speed 2: Cruise Control,   Action    Adventure    Thriller,PG13
12512,Ender's Game,   Science Fiction    Action    Adventure,PG13
45441,Live Free or Die Hard,   Action    Thriller,PG13
34484,The Lord of the Rings: The Fellowship of the Ring,   Adventure    Fantasy    Action,PG13
18990,Around the World in 80 Days,   Action    Adventure    Comedy,PG13
65576,Ali,   Drama,PG13
61231,The Cat in the Hat,   Comedy    Fantasy    Family,PG
23396,"I, Robot",   Action    Science Fiction,PG13
38021,Kingdom of Heaven,   Drama    Action    Adventure    History    War,PG13
22632,Stuart Little,   Animation    Fantasy    Family    Comedy,PG
58307,The Princess and the Frog,   Romance    Family    Animation    Music,PG
84430,The Martian,   Drama    Adventure    Science Fiction,PG13
61452,The Island,   Action    Thriller    Science Fiction    Adventure,PG13
52397,Town & Country,   Comedy    Romance,R
53612,Gone in Sixty Seconds,   Action    Crime    Thriller,PG13
80925,Gladiator,   Action    Drama    Adventure,PG13
33905,Minority Report,   Action    Thriller    Science Fiction    Mystery,PG13
56936,Harry Potter and the Chamber of Secrets,   Adventure    Fantasy    Family,PG
94161,Casino Royale,   Adventure    Action    Thriller,PG13
23505,Planet of the Apes,   Thriller    Science Fiction    Action    Adventure,PG13
75874,Terminator 2: Judgment Day,   Action    Thriller    Science Fiction,PG13
23599,Public Enemies,   History    Crime    Drama,PG13
27971,American Gangster,   Drama    Crime,PG13
33716,True Lies,   Action    Thriller,PG13
83683,The Taking of Pelham 1 2 3,   Thriller    Drama    Crime,PG13
65856,Little Fockers,   Comedy    Romance,R
47939,The Other Guys,   Action    Comedy    Crime,PG13
44283,Eraser,   Action    Drama    Mystery    Thriller,PG13
37892,Django Unchained,   Drama    Western,R
68915,The Hunchback of Notre Dame,   Drama    Animation    Family,PG
12792,The Emperor's New Groove,   Adventure    Animation    Comedy    Family    Fantasy,PG
25047,The Expendables 2,   Action    Adventure    Thriller,PG13
58880,National Treasure,   Adventure    Action    Thriller    Mystery,PG13
28014,Eragon,   Fantasy    Action    Adventure    Family,PG13
71863,Where the Wild Things Are,   Family    Fantasy,PG
91383,Epic,   Animation    Adventure    Family    Fantasy,PG
22343,The Tourist,   Action    Thriller    Romance,R
19724,End of Days,   Action    Fantasy    Horror    Mystery,PG13
34814,Blood Diamond,   Drama    Thriller    Action,PG13
33641,The Wolf of Wall Street,   Crime    Drama    Comedy,PG13
68742,Batman Forever,   Action    Crime    Fantasy,PG13
35313,Starship Troopers,   Adventure    Action    Thriller    Science Fiction,PG13
55583,Cloud Atlas,   Drama    Science Fiction,PG13
46107,Legend of the Guardians: The Owls of Ga'Hoole,   Animation    Adventure    Family    Fantasy,PG
98073,Catwoman,   Action    Crime,PG13
96548,Hercules,   Action    Adventure,PG13
97540,Treasure Planet,   Adventure    Animation    Family    Fantasy    Science Fiction,PG
21279,Land of the Lost,   Adventure    Comedy    Science Fiction,PG13
68217,The Expendables 3,   Action    Adventure    Thriller,PG13
79664,Point Break,   Action    Crime    Thriller,PG13
47236,Son of the Mask,   Fantasy    Comedy    Family    Adventure,PG
65233,In the Heart of the Sea,   Thriller    Drama    Adventure    Action    History,PG13
11318,The Adventures of Pluto Nash,   Action    Comedy    Science Fiction,PG13
47941,Green Zone,   War    Action    Adventure    Drama    Thriller,PG13
69580,The Peanuts Movie,   Animation,PG13
60431,The Spanish Prisoner,   Crime    Drama    Mystery    Thriller,PG13
81757,The Mummy Returns,   Adventure    Action    Fantasy,PG13
37520,Gangs of New York,   Drama    History    Crime,PG13
25485,金陵十三釵,   Drama    History    War,PG13
86809,Surf's Up,   Animation    Comedy    Family,PG
73276,The Stepford Wives,   Action    Comedy    Science Fiction,PG13
88055,Black Hawk Down,   Action    History    War,PG13
81793,The Campaign,   Comedy,PG13
43637,The Fifth Element,   Adventure    Fantasy    Action    Thriller    Science Fiction,PG13
25229,Sex and the City 2,   Comedy    Drama    Romance,R
15080,The Road to El Dorado,   Adventure    Animation    Comedy    Family,PG
32610,Ice Age: Continental Drift,   Animation    Comedy    Adventure    Family,PG
26896,Cinderella,   Romance    Fantasy    Family    Drama,PG13
67497,The Lovely Bones,   Fantasy    Drama,PG13
29072,Finding Nemo,   Animation    Family,PG13
98843,The Lord of the Rings: The Return of the King,   Adventure    Fantasy    Action,PG13
20832,The Lord of the Rings: The Two Towers,   Adventure    Fantasy    Action,PG13
86026,Seventh Son,   Adventure    Fantasy,PG13
83659,Lara Croft: Tomb Raider,   Adventure    Fantasy    Action    Thriller,PG13
12049,Transcendence,   Thriller    Science Fiction    Drama    Mystery,PG13
80119,Jurassic Park III,   Adventure    Action    Thriller    Science Fiction,PG13
37168,Rise of the Planet of the Apes,   Thriller    Action    Drama    Science Fiction,PG13
49119,The Spiderwick Chronicles,   Adventure    Family    Fantasy,PG
19693,A Good Day to Die Hard,   Action    Thriller,PG13
99668,The Alamo,   Western    History    War,PG13
65873,The Incredibles,   Action    Adventure    Animation    Family,PG13
56974,Cutthroat Island,   Action    Adventure,PG13
49360,Percy Jackson & the Olympians: The Lightning Thief,   Adventure    Fantasy    Family,PG
25758,Men in Black,   Action    Adventure    Comedy    Science Fiction,PG13
79011,Toy Story 2,   Animation    Comedy    Family,PG
69635,Unstoppable,   Action    Thriller,PG13
83766,Rush Hour 2,   Action    Comedy    Crime    Thriller,PG13
21691,What Lies Beneath,   Drama    Horror    Mystery    Thriller,PG13
24175,Cloudy with a Chance of Meatballs,   Animation    Comedy    Family,PG
73184,Ice Age: Dawn of the Dinosaurs,   Animation    Comedy    Family    Adventure,PG
48877,The Secret Life of Walter Mitty,   Adventure    Comedy    Drama    Fantasy,PG13
18887,Charlie's Angels,   Action    Adventure    Comedy    Crime    Thriller,PG13
26110,The Departed,   Drama    Thriller    Crime,PG13
71690,Mulan,   Animation    Family    Adventure,PG
48400,Tropic Thunder,   Action    Comedy,PG13
60550,The Girl with the Dragon Tattoo,   Thriller    Crime    Mystery    Drama,PG13
48662,Die Hard: With a Vengeance,   Action    Thriller,PG13
11210,Sherlock Holmes,   Action    Adventure    Crime    Mystery,PG13
33929,Ben-Hur,   Drama,PG13
34974,Atlantis: The Lost Empire,   Animation    Family    Adventure    Science Fiction,PG
13043,Alvin and the Chipmunks: The Road Chip,   Adventure    Animation    Comedy    Family,PG
58562,Valkyrie,   Drama    Thriller    History    War,PG13
69893,You Don't Mess with the Zohan,   Comedy    Action,PG13
21750,Pixels,   Action    Comedy    Science Fiction,PG13
24486,A.I. Artificial Intelligence,   Drama    Science Fiction    Adventure,PG13
59720,The Haunted Mansion,   Thriller    Fantasy    Comedy    Family    Mystery,PG
58444,Contact,   Drama    Science Fiction    Mystery,PG13
47446,Hollow Man,   Action    Science Fiction    Thriller,PG13
94528,The Interpreter,   Crime    Thriller,PG13
82961,Percy Jackson: Sea of Monsters,   Adventure    Family    Fantasy,PG
20418,Lara Croft Tomb Raider: The Cradle of Life,   Action    Adventure    Fantasy    Thriller,PG13
79026,Now You See Me 2,   Action    Adventure    Comedy    Crime    Mystery    Thriller,PG13
28527,The Saint,   Thriller    Action    Romance    Science Fiction    Adventure,PG13
68305,Spy Game,   Action    Crime    Thriller,PG13
73368,Mission to Mars,   Science Fiction,PG13
17748,Rio,   Animation    Adventure    Comedy    Family,PG
44291,Bicentennial Man,   Comedy    Science Fiction,PG13
68425,Volcano,   Science Fiction    Action    Drama    Thriller,PG13
39786,The Devil's Own,   Crime    Thriller    Drama,PG13
93507,K-19: The Widowmaker,   Drama    History    Thriller,PG13
42298,Conan the Barbarian,   Adventure    Fantasy    Action,PG13
43699,Cinderella Man,   Romance    Drama    History,R
24611,The Nutcracker: The Untold Story,   Fantasy    Action    Family,PG
44050,Seabiscuit,   Drama    History,PG13
38693,Twister,   Action    Adventure    Drama,PG13
65513,Cast Away,   Adventure    Drama,PG13
76546,Happy Feet,   Animation    Comedy,PG13
39637,The Bourne Supremacy,   Action    Drama    Thriller,PG13
99081,Air Force One,   Action    Thriller,PG13
87201,Ocean's Eleven,   Thriller    Crime,PG13
37052,The Three Musketeers,   Adventure    Action    Thriller,PG13
59259,Hotel Transylvania,   Animation    Comedy    Family    Fantasy,PG
18502,Enchanted,   Comedy    Family    Fantasy    Romance,PG
94514,Safe House,   Action    Thriller,PG13
17405,102 Dalmatians,   Comedy    Family,PG13
95146,Tower Heist,   Action    Comedy,PG13
47582,The Holiday,   Comedy    Romance,R
47286,Enemy of the State,   Action    Drama    Thriller,PG13
27994,It's Complicated,   Comedy    Romance,R
91156,Ocean's Thirteen,   Crime    Thriller,PG13
77783,Open Season,   Adventure    Animation    Family,PG
81991,Divergent,   Adventure    Action    Science Fiction,PG13
70570,Enemy at the Gates,   War,PG13
41241,The Rundown,   Adventure    Action    Comedy    Thriller,PG13
92177,Last Action Hero,   Adventure    Fantasy    Action    Comedy    Family,PG
72450,Memoirs of a Geisha,   Drama    History    Romance,R
71252,The Fast and the Furious: Tokyo Drift,   Action    Crime    Drama    Thriller,PG13
75303,Arthur Christmas,   Drama    Animation    Family    Comedy,PG
73296,Meet Joe Black,   Fantasy    Drama    Mystery,PG13
65092,Collateral Damage,   Action    Thriller    Drama,PG13
24215,All That Jazz,   Drama    Music,PG13
41432,Mirror Mirror,   Adventure    Fantasy    Drama    Comedy    Science Fiction    Family,PG
92036,Scott Pilgrim vs. the World,   Action    Adventure    Comedy,PG13
71597,The Core,   Action    Thriller    Adventure    Science Fiction,PG13
99730,Nutty Professor II: The Klumps,   Fantasy    Comedy    Romance    Science Fiction,R
11331,Scooby-Doo,   Mystery    Adventure    Comedy,PG13
47807,Dredd,   Action    Science Fiction,PG13
59831,Click,   Comedy    Drama    Fantasy    Romance,R
23458,Creepshow,   Horror    Comedy    Fantasy,PG13
89610,Cats & Dogs 2 : The Revenge of Kitty Galore,   Comedy    Family,PG
68093,Jumper,   Adventure    Fantasy    Science Fiction,PG13
22583,Hellboy II: The Golden Army,   Adventure    Fantasy    Science Fiction,PG13
45431,Zodiac,   Crime    Drama    Mystery    Thriller,PG13
31018,The 6th Day,   Science Fiction,PG13
60729,Bruce Almighty,   Fantasy    Comedy,PG13
78388,The Expendables,   Thriller    Adventure    Action,PG13
20371,Mission: Impossible,   Adventure    Action    Thriller,PG13
62446,The Hunger Games,   Science Fiction    Adventure    Fantasy,PG13
33471,The Hangover Part II,   Comedy,PG13
69545,Batman Returns,   Action    Fantasy,PG13
26983,Over the Hedge,   Comedy    Animation    Family,PG
57674,Lilo & Stitch,   Animation    Family,PG
86138,Charlotte's Web,   Comedy    Family    Fantasy,PG
91627,Deep Impact,   Action    Drama    Romance,R
51530,RED 2,   Action    Comedy    Crime    Thriller,PG13
22306,The Longest Yard,   Comedy    Drama,PG13
40784,Alvin and the Chipmunks: Chipwrecked,   Comedy    Fantasy    Family    Music    Animation,PG
82982,Grown Ups 2,   Comedy,PG13
39179,Get Smart,   Action    Comedy    Thriller,PG13
91893,Something's Gotta Give,   Drama    Comedy    Romance,R
38257,Shutter Island,   Drama    Thriller    Mystery,PG13
21885,Four Christmases,   Comedy    Romance    Drama,R
53187,Robots,   Animation    Comedy    Family    Science Fiction,PG
83501,Face/Off,   Action    Crime    Science Fiction    Thriller,PG13
28592,Bedtime Stories,   Fantasy    Comedy    Family    Romance,PG
67638,Road to Perdition,   Thriller    Crime    Drama,PG13
43514,Just Go with It,   Romance    Comedy,R
47642,Con Air,   Action    Thriller    Crime,PG13
95571,Eagle Eye,   Mystery    Thriller    Action,PG13
51114,Cold Mountain,   Drama,PG13
79677,The Book of Eli,   Action    Thriller    Science Fiction,PG13
65864,Flubber,   Comedy    Family    Science Fiction,PG13
49312,The Haunting,   Horror    Thriller    Fantasy    Mystery,PG13
69944,Space Jam,   Animation    Comedy    Drama    Family    Fantasy,PG
47536,The Pink Panther,   Action    Comedy    Crime    Mystery    Family,PG13
40408,The Day the Earth Stood Still,   Drama    Science Fiction    Thriller,PG13
94768,Conspiracy Theory,   Action    Drama    Mystery    Thriller,PG13
40555,Fury,   War    Drama    Action,PG13
35128,Six Days Seven Nights,   Action    Adventure    Comedy    Romance,R
70690,Yogi Bear,   Comedy    Family    Animation    Adventure,PG
60862,Spirit: Stallion of the Cimarron,   Western    Animation    Adventure    Comedy    Family,PG
36742,Zookeeper,   Comedy    Romance    Family,R
49773,Lost in Space,   Adventure    Family    Science Fiction,PG
95829,The Manchurian Candidate,   Drama    Thriller    Mystery,PG13
76780,Déjà Vu,   Romance    Drama,R
80335,Hotel Transylvania 2,   Animation    Comedy    Family,PG
95225,Fantasia 2000,   Animation    Family    Music,PG
25252,The Time Machine,   Science Fiction    Adventure    Action,PG13
86573,Mighty Joe Young,   Action    Adventure    Family    Fantasy,PG
99251,Swordfish,   Action    Crime    Thriller,PG13
15842,The Legend of Zorro,   Action    Adventure,PG13
47180,What Dreams May Come,   Drama    Fantasy    Romance,R
89463,Little Nicky,   Comedy    Fantasy    Romance,R
31847,The Brothers Grimm,   Adventure    Fantasy    Action    Comedy    Thriller,PG13
84637,Mars Attacks!,   Comedy    Fantasy    Science Fiction,PG13
86492,Évolution,   Mystery    Drama    Horror,PG13
58976,The Edge,   Action    Adventure    Drama,PG13
89574,Surrogates,   Action    Science Fiction    Thriller,PG13
73606,Thirteen Days,   Drama    Thriller,PG13
56821,Daylight,   Action    Adventure    Thriller,PG13
40288,Walking With Dinosaurs,   Animation    Family    Adventure,PG13
36874,Battlefield Earth,   Action    Science Fiction    War,PG13
97963,Looney Tunes: Back in Action,   Animation    Comedy    Family,PG
83413,Nine,   Drama    Music    Romance,R
18648,Timeline,   Action    Adventure    Science Fiction,PG13
52587,The Postman,   Drama    Adventure,PG13
70759,Babe: Pig in the City,   Adventure    Comedy    Drama    Family    Fantasy,PG
85522,The Last Witch Hunter,   Fantasy    Action    Adventure,PG13
59142,Red Planet,   Thriller    Action    Science Fiction,PG13
78506,Arthur et les Minimoys,   Adventure    Fantasy    Animation    Family,PG
52043,Oceans,   Documentary    Family,PG
22128,A Sound of Thunder,   Thriller    Science Fiction    Adventure    Action,PG13
28197,Pompeii,   Action    Adventure    History    Romance    Drama,R
71606,Don Gato: El inicio de la pandilla,   Comedy    Animation,PG
60486,A Beautiful Mind,   Drama    Romance,R
33672,The Lion King,   Family    Animation    Drama,PG
75730,Journey 2: The Mysterious Island,   Adventure    Action    Science Fiction,PG
78945,Cloudy with a Chance of Meatballs 2,   Animation    Family    Comedy,PG13
57476,Red Dragon,   Crime    Thriller    Horror,PG13
55309,Hidalgo,   Western    Adventure,PG13
72551,Jack and Jill,   Comedy,PG13